"id" "day" "beep" "obs" "Company" "PA"
1 1 1 1 1 5.12809727694196
1 1 2 2 1 4.48141632349981
1 1 3 3 1 3.33049150729155
1 1 4 4 1 3.92022420104742
1 1 5 5 1 3.22164473325637
1 1 6 6 0 3.17647983931736
1 1 7 7 1 2.94859712501514
1 1 8 8 1 3.09012143173497
1 1 9 9 1 4.72836870277762
1 1 10 10 1 3.48451418703454
1 2 1 11 1 3.61092767393334
1 2 2 12 1 3.70171584482574
1 2 3 13 1 4.42309733438364
1 2 4 14 0 3.1474309554321
1 2 5 15 1 2.79983649085283
1 2 6 16 1 4.746454129701
1 2 7 17 1 3.20207552231136
1 2 8 18 1 2.9964102679047
1 2 9 19 1 2.62199434711439
1 2 10 20 1 2.58665251291011
1 3 1 21 1 3.10518233446988
1 3 2 22 1 3.97478935075783
1 3 3 23 1 4.3336329180857
1 3 4 24 1 4.04015986701265
1 3 5 25 1 3.25862081867389
1 3 6 26 1 3.56752222406825
1 3 7 27 1 3.0098848993611
1 3 8 28 0 3.0006766008239
1 3 9 29 1 4.1693375026841
1 3 10 30 1 2.78299426276142
1 4 1 31 1 4.95043722075865
1 4 2 32 1 3.45803734670668
1 4 3 33 1 3.68045016089444
1 4 4 34 1 2.98512998920249
1 4 5 35 1 3.10487941310762
1 4 6 36 1 2.56308739349926
1 4 7 37 1 3.39047577073341
1 4 8 38 1 3.8296042223191
1 4 9 39 1 3.76053080163072
1 4 10 40 1 2.95375245896785
1 5 1 41 1 2.94858316632178
1 5 2 42 0 3.15754640084706
1 5 3 43 1 4.61539851835377
1 5 4 44 1 2.69419863320348
1 5 5 45 1 3.39330193975239
1 5 6 46 1 4.9118199929859
1 5 7 47 1 3.45026366168463
1 5 8 48 1 2.53184425627936
1 5 9 49 1 3.03894114603202
1 5 10 50 1 3.87810366766982
1 6 1 51 1 3.24990579334173
1 6 2 52 1 3.11400791833226
1 6 3 53 1 3.27302239875201
1 6 4 54 1 3.58995382438354
1 6 5 55 1 4.69014065758592
1 6 6 56 1 3.45931734822284
1 6 7 57 1 4.3124401612118
1 6 8 58 1 3.98410460336814
1 6 9 59 1 3.44102376419464
1 6 10 60 1 2.40558548186913
1 7 1 61 1 3.14374412868907
1 7 2 62 1 3.16654062233784
1 7 3 63 0 3.55833303511993
1 7 4 64 1 4.47250524747728
1 7 5 65 1 5.19687198922719
1 7 6 66 1 4.65298578497326
1 7 7 67 1 3.42678924931321
1 7 8 68 1 2.24243711676957
1 7 9 69 1 3.24029237358795
1 7 10 70 1 3.58901311087258
2 1 1 1 1 4.14041953226044
2 1 2 2 1 4.22615386721535
2 1 3 3 0 4.02317647163451
2 1 4 4 1 2.50599325008595
2 1 5 5 0 4.14379743001532
2 1 6 6 1 3.19814027062614
2 1 7 7 0 3.65146023273235
2 1 8 8 0 3.57832063137005
2 1 9 9 1 3.83630477321865
2 1 10 10 0 3.54193290514562
2 2 1 11 0 2.30740620033031
2 2 2 12 1 4.06124973255608
2 2 3 13 1 3.80556092923176
2 2 4 14 0 3.33012193461039
2 2 5 15 1 3.61012462762373
2 2 6 16 1 3.62172036815366
2 2 7 17 0 3.68517818450283
2 2 8 18 1 4.7210283696967
2 2 9 19 1 3.36412038649491
2 2 10 20 1 3.64654494953227
2 3 1 21 1 4.37633830682016
2 3 2 22 1 4.29302036159589
2 3 3 23 1 4.3594703000722
2 3 4 24 1 3.10263286767899
2 3 5 25 0 4.98486430319517
2 3 6 26 1 3.5725933540967
2 3 7 27 1 4.88591329867618
2 3 8 28 1 2.53836508547675
2 3 9 29 1 3.53923980624418
2 3 10 30 1 4.43581992431087
2 4 1 31 0 3.00211819464755
2 4 2 32 0 2.9747984836581
2 4 3 33 1 2.83920976485785
2 4 4 34 1 2.75605835941235
2 4 5 35 0 3.20499645381338
2 4 6 36 1 3.76554640860313
2 4 7 37 0 2.05444157492646
2 4 8 38 1 3.67858365695152
2 4 9 39 1 4.42616088353872
2 4 10 40 1 5.01046553832151
2 5 1 41 1 4.47321825804585
2 5 2 42 0 4.07604435344975
2 5 3 43 1 2.26417584329175
2 5 4 44 0 3.08509516459986
2 5 5 45 1 3.26709163508913
2 5 6 46 1 4.03719460201922
2 5 7 47 0 3.44683731589287
2 5 8 48 1 2.60567004826379
2 5 9 49 0 4.75282959963285
2 5 10 50 1 4.18884654223395
2 6 1 51 0 3.69715086702883
2 6 2 52 1 4.41261553585791
2 6 3 53 0 2.54721349223057
2 6 4 54 0 4.00603971727582
2 6 5 55 0 3.1424345238244
2 6 6 56 1 4.02276506666693
2 6 7 57 1 3.47955767393624
2 6 8 58 0 3.98571445075994
2 6 9 59 1 4.49827256676035
2 6 10 60 1 3.52924956558169
2 7 1 61 1 4.26630209673341
2 7 2 62 1 2.65689587688341
2 7 3 63 1 2.99747654283106
2 7 4 64 1 4.63229299273807
2 7 5 65 1 3.79925854698731
2 7 6 66 1 2.02670926690155
2 7 7 67 0 2.52878247242133
2 7 8 68 1 3.37744900148579
2 7 9 69 1 4.15556988800567
2 7 10 70 1 3.44960095007715
3 1 1 1 0 3.97931383627486
3 1 2 2 0 4.22358392242426
3 1 3 3 1 4.74306743200007
3 1 4 4 0 3.56479862394481
3 1 5 5 0 3.48600702854476
3 1 6 6 0 2.24483739902681
3 1 7 7 0 3.59639653887031
3 1 8 8 1 3.10673149991166
3 1 9 9 0 2.81333159475986
3 1 10 10 1 3.39267843017073
3 2 1 11 1 4.26439395605004
3 2 2 12 0 2.07009941984387
3 2 3 13 0 3.21220469594712
3 2 4 14 0 3.60902501324788
3 2 5 15 0 2.87228159198314
3 2 6 16 0 3.76753356463268
3 2 7 17 0 3.82409422431433
3 2 8 18 0 3.49982910660245
3 2 9 19 0 1.72490784786224
3 2 10 20 0 5.39996657635661
3 3 1 21 1 3.37415266842224
3 3 2 22 0 3.99901622170838
3 3 3 23 0 3.72366035496712
3 3 4 24 0 4.27149262986731
3 3 5 25 0 4.12046344335613
3 3 6 26 0 3.37087408420536
3 3 7 27 0 3.79982745806021
3 3 8 28 1 2.83419758775642
3 3 9 29 0 4.14910860875472
3 3 10 30 0 3.18757540844519
3 4 1 31 0 5.28711458476308
3 4 2 32 0 2.31939011661283
3 4 3 33 0 3.18542400303447
3 4 4 34 0 4.1260959580545
3 4 5 35 0 3.89610381103334
3 4 6 36 0 3.09386862405996
3 4 7 37 0 2.79671864493434
3 4 8 38 0 3.62933483960444
3 4 9 39 0 3.51349286934253
3 4 10 40 0 2.2178116302604
3 5 1 41 0 3.54913811108924
3 5 2 42 0 3.6627156193469
3 5 3 43 0 3.65140456490847
3 5 4 44 0 2.75423171138175
3 5 5 45 1 3.87129927065174
3 5 6 46 0 4.52968200769012
3 5 7 47 0 3.85678328654027
3 5 8 48 0 2.69544993996522
3 5 9 49 0 3.2061010554861
3 5 10 50 0 3.77643470278515
3 6 1 51 0 3.05187174216981
3 6 2 52 0 1.94979638217992
3 6 3 53 0 4.1690459125106
3 6 4 54 0 2.91877648418561
3 6 5 55 0 3.10548379529802
3 6 6 56 0 4.62111823220596
3 6 7 57 0 2.95914505101215
3 6 8 58 0 4.14094374819204
